id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,DATA INVÁLIDA,Cliente_042,Notebook,Computadores,Centro-Oeste,1.0,4144.51
2,2024-08-30,Cliente_009,Tablet,Mobile,Norte,10.0,4289.91
3,2024-12-31,Cliente_003,Headset,Áudio,Centro-Oeste,3.0,1892.69
4,2024-12-27,Cliente_012,Tablet,Mobile,Norte,7.0,810.38
5,2024-03-10,Cliente_039,Notebook,Computadores,Norte,10.0,3024.16
6,2024-05-06,Cliente_023,Monitor,Computadores,Nordeste,1.0,642.38
7,2024-01-01,Cliente_001,Monitor,Computadores,Centro-Oeste,1.0,1856.35
8,2024-04-21,Cliente_049,Teclado,Periféricos,Sul,1.0,4794.22
9,2024-02-17,Cliente_027,Tablet,Mobile,Nordeste,2.0,4977.55
10,2024-03-01,Cliente_034,Headset,Áudio,Nordeste,1.0,3871.92
11,2024-01-30,Cliente_017,Monitor,Computadores,Norte,9.0,1589.26
12,2024-09-24,Cliente_012,Tablet,Mobile,Norte,7.0,3453.94
13,2024-04-01,Cliente_005,Headset,Áudio,Nordeste,10.0,3541.76
14,2024-07-20,Cliente_047,Headset,Áudio,Centro-Oeste,9.0,1969.82
15,2024-07-09,Cliente_025,Monitor,Computadores,Sul,10.0,3222.4
16,2024-10-07,Cliente_001,Notebook,Computadores,Norte,3.0,103.1
17,2024-06-26,Cliente_045,Teclado,Periféricos,Nordeste,3.0,1084.84
18,2024-03-07,Cliente_037,Monitor,Computadores,Nordeste,9.0,2649.19
19,2024-02-04,Cliente_020,Smartphone,Mobile,Centro-Oeste,3.0,860.57
20,2024-07-04,Cliente_010,Teclado,Periféricos,Centro-Oeste,1.0,871.24
21,2024-04-03,Cliente_039,Mouse,Periféricos,Sudeste,7.0,
22,2024-12-16,Cliente_011,Notebook,Computadores,Sul,9.0,4946.21
23,2024-07-15,Cliente_008,Mouse,Periféricos,Sudeste,10.0,2802.05
24,2024-11-26,Cliente_029,Notebook,Computadores,Centro-Oeste,10.0,4203.4
25,2024-04-12,Cliente_005,Mouse,Periféricos,Sudeste,2.0,4952.09
26,2024-08-04,Cliente_004,Tablet,Mobile,Sul,8.0,750.9
27,2024-06-30,Cliente_039,Notebook,Computadores,Nordeste,9.0,2268.82
28,2024-12-05,Cliente_016,Headset,Áudio,Centro-Oeste,7.0,1993.23
29,2024-07-06,Cliente_019,Smartphone,Mobile,Nordeste,9.0,446.24
30,2024-07-07,Cliente_024,Teclado,Periféricos,Norte,9.0,3788.88
31,2024-08-24,Cliente_034,Smartphone,Mobile,Norte,5.0,2197.21
32,2024-11-24,Cliente_032,Headset,Áudio,Sudeste,1.0,2373.17
33,2024-05-21,Cliente_042,Mouse,Periféricos,Norte,5.0,795.83
34,2024-01-28,Cliente_016,Mouse,Periféricos,Centro-Oeste,3.0,945.59
35,2024-07-18,Cliente_035,Monitor,Computadores,Centro-Oeste,2.0,4540.16
36,2024-02-10,Cliente_023,Monitor,Computadores,Sudeste,2.0,271.01
37,2024-05-17,Cliente_033,Teclado,Periféricos,Centro-Oeste,7.0,1202.62
38,2024-08-28,Cliente_022,Mouse,Periféricos,Centro-Oeste,6.0,1495.69
39,2024-04-27,Cliente_036,Mouse,Periféricos,Nordeste,6.0,2476.48
40,2024-08-02,Cliente_019,Notebook,Computadores,Sudeste,8.0,2952.9
41,2024-11-22,Cliente_029,Teclado,Periféricos,Nordeste,6.0,2491.79
42,2024-05-10,Cliente_019,Notebook,Computadores,Norte,7.0,466.37
43,2024-11-07,Cliente_022,Tablet,Mobile,Centro-Oeste,1.0,1256.15
44,2024-09-19,Cliente_020,Mouse,Periféricos,Sudeste,9.0,4225.76
45,2024-03-18,Cliente_043,Smartphone,Mobile,Norte,5.0,3206.06
46,2024-02-23,Cliente_030,Mouse,Periféricos,Norte,2.0,3263.29
47,2024-01-12,Cliente_007,Monitor,Computadores,Sudeste,9.0,3367.51
48,2024-01-23,Cliente_013,Smartphone,Mobile,Norte,8.0,3826.37
49,2024-03-23,Cliente_046,Tablet,Mobile,Nordeste,1.0,337.64
50,2024-01-06,Cliente_004,Monitor,Computadores,Nordeste,2.0,1864.71
51,2024-03-25,Cliente_047,Mouse,Periféricos,Nordeste,1.0,2720.66
52,2024-07-31,Cliente_046,Teclado,Periféricos,Centro-Oeste,3.0,1725.36
53,2024-09-17,Cliente_043,Headset,Áudio,Norte,1.0,4230.17
54,2024-10-05,Cliente_041,Headset,Áudio,Centro-Oeste,8.0,2438.73
55,2024-04-14,Cliente_035,Mouse,Periféricos,Norte,6.0,3854.71
56,2024-11-13,Cliente_024,Teclado,Periféricos,Norte,10.0,4267.48
57,2024-10-03,Cliente_010,Tablet,Mobile,Sudeste,8.0,2548.72
58,2024-11-05,Cliente_006,Tablet,Mobile,Sul,7.0,4552.28
59,2024-01-04,Cliente_003,Notebook,Computadores,Centro-Oeste,6.0,2956.26
60,2024-06-25,Cliente_023,Tablet,Mobile,Nordeste,1.0,4258.86
61,2024-05-13,Cliente_047,Headset,Áudio,Sudeste,1.0,1735.92
62,2024-02-14,Cliente_025,Tablet,Mobile,Sudeste,7.0,2519.14
